"Timestamp","Do you play video games?","Are you from Chennai or ever resided in Chennai?","Do you like playing Video Games?","How corona impacted playing video games?","1. Gender","2. Age","3. How many days do you play games per week?","4. On an average, how many hours do you play per day?","5. What is genre you prefer for gaming?","6. What game-mode do you prefer?","7. What sort of game would you like to go for?","8. How much will you spend on gaming devices? ","9. On an average, how much will you spend for computer games per month?","10. Why do you play games?","11. Which device you usually use for gaming","12. If you are a PC/Laptop gamer, which PC game store would you prefer?","13. What CPU (Microprocessor) series would you prefer for PC/Laptop gaming?","14. What GPU series would you prefer for PC/Laptop gaming?","15. If you are a Playstation gamer, what device you are currently using?","16. If you are a Xbox gamer, what device you are currently using?","17. If you are a Mobile gamer, what OS would you prefer to play games?","18. Amongst some of top rated mobile games, rate them in order of time played? [BGMI]","18. Amongst some of top rated mobile games, rate them in order of time played? [Call of Duty: Mobile]","18. Amongst some of top rated mobile games, rate them in order of time played? [Clash of Clans]","18. Amongst some of top rated mobile games, rate them in order of time played? [Among Us]","18. Amongst some of top rated mobile games, rate them in order of time played? [Fortnite]","18. Amongst some of top rated mobile games, rate them in order of time played? [Asphalt 9: Airborne]","18. Amongst some of top rated mobile games, rate them in order of time played? [Ludo King]","18. Amongst some of top rated mobile games, rate them in order of time played? [Carrom Pool]","19. Are you a Game developer (or aspiring to be one)","20. On a scale of 1-10 how much are u open to recommend gaming to a friend","21. Are you open to gaming as a career? Why so?"
"2021/08/07 9:31:17 PM GMT+5:30","No","Yes","No","Still not interested in gaming","Female","18-25","0","Less than 2 hours","Puzzle game","Offline gaming","Free game","<₹25000","<₹100","Stress-buster","Mobile","I'm not a PC Gamer","I don't know anything about Microprocessors for gaming purposes","I don't know anything about GPUs for gaming purposes","I'm not a Playstation gamer","I'm not a Xbox gamer","I'm not a mobile gamer","2","2","4","4","3","3","5","5","No","6","No"
"2021/08/07 9:31:31 PM GMT+5:30","Yes","No","Yes","Started playing more games","Male","18-25","1-3 days","Less than 2 hours","Racing game","Online gaming","Free game","<₹25000","<₹100","Entertainment","Playstation Series","I'm not a PC Gamer","I'm not a PC gamer","I'm not a PC gamer","PS2","I'm not a Xbox gamer","Android","5","5","4","4","3","4","4","4","No","10","."
"2021/08/07 9:31:49 PM GMT+5:30","Yes","Yes","Maybe","Still not interested in gaming","Female","<18","1-3 days","Less than 2 hours","Puzzle game","Offline gaming","Free game","<₹25000","<₹100","Entertainment","Laptop","Origin","Intel Microprocessor Series","Intel UHD Series","PS4","Xbox","Android","1","2","3","4","2","3","2","3","No","5","No"
"2021/08/07 9:32:08 PM GMT+5:30","Yes","Yes","Yes","Started playing more games","Female","18-25","4-5 days","Less than 2 hours","Sports game","Online gaming","Free game","<₹25000","<₹100","Entertainment","PC","Epic Games","Intel Microprocessor Series","Intel UHD Series","PS5","Xbox 360","Android","5","2","4","5","3","3","4","4","No","8","No"
"2021/08/07 9:32:24 PM GMT+5:30","No","No","No","Still not interested in gaming","Female","<18","0","Less than 2 hours","Sports game","Offline gaming","Free game","<₹25000","<₹100","Entertainment","Mobile","Other","I don't know anything about Microprocessors for gaming purposes","I don't know anything about GPUs for gaming purposes","I'm not a Playstation gamer","I'm not a Xbox gamer","I'm not a mobile gamer","2","3","2","3","2","3","2","3","No","1","I'm not interested in computer gaming "
"2021/08/07 9:32:37 PM GMT+5:30","Yes","No","Yes","Still not interested in gaming","Female","18-25","1-3 days","Less than 2 hours","Board game","Online gaming","Free game","<₹25000","<₹100","Entertainment","Mobile","I'm not a PC Gamer","I'm not a PC gamer","I'm not a PC gamer","I'm not a Playstation gamer","I'm not a Xbox gamer","Android","1","1","1","1","1","1","4","3","No","3","No"
"2021/08/07 9:32:41 PM GMT+5:30","Yes","No","Yes","Still not interested in gaming","Female","18-25","1-3 days","Less than 2 hours","Board game","Online gaming","Free game","<₹25000","<₹100","Entertainment","Mobile","I'm not a PC Gamer","I'm not a PC gamer","I'm not a PC gamer","I'm not a Playstation gamer","I'm not a Xbox gamer","Android","1","1","1","1","1","1","4","3","No","3","No"
"2021/08/07 9:32:48 PM GMT+5:30","Yes","No","Yes","Started playing more games","Male","18-25","6-7 days","Less than 2 hours","Action game","Online gaming","Free game","<₹25000","<₹100","Stress-buster","Mobile","I'm not a PC Gamer","AMD Ryzen Series","Nvidia GPUs","I'm not a Playstation gamer","I'm not a Xbox gamer","Android","1","1","1","2","1","1","2","1","No","6","Noee"
"2021/08/07 9:34:28 PM GMT+5:30","Yes","Yes","Yes","Started playing more games","Female","18-25","1-3 days","Less than 2 hours","Action game;Racing game;Board game;Puzzle game","Offline gaming","Free game","<₹25000","<₹100","Time-killer","Mobile","I'm not a PC Gamer","I don't know anything about Microprocessors for gaming purposes","I don't know anything about GPUs for gaming purposes","I'm not a Playstation gamer","I'm not a Xbox gamer","Android","3","4","3","5","5","4","3","4","No","7","No"
"2021/08/07 9:34:32 PM GMT+5:30","No","No","No","Still not interested in gaming","Female","18-25","0","Less than 2 hours","No","Offline gaming","Free game","<₹25000","<₹100","Entertainment","Mobile","I'm not a PC Gamer","I don't know anything about Microprocessors for gaming purposes","I don't know anything about GPUs for gaming purposes","I'm not a Playstation gamer","I'm not a Xbox gamer","I'm not a mobile gamer","1","1","1","1","1","1","1","1","No","1","No"
